# EVM: gas (Hardhat / local). Starknet: STRK = overall_fee / 1e18 (Katana estimateInvokeFee).
# Same n per row. EVM n=32 direct/gkr: interpolated n16–n64. EVM n=2048: extrapolated.
# Stark: n=32 Direct/GKR linear interp n16–n64; n=2048 linear extrap n512–n1024 (see starknet_four_methods_strk.md).
# Stark Plonk: constant (single public_out + fixed proof).
# n=4096: extrapolated — EVM & Stark Direct/GKR: linear in n from measured n=1024 and n=2048 (same convention as Stark n=2048 row).
#
n,evm_direct,evm_gkr,evm_plonk,stark_direct,stark_gkr,stark_plonk
2,23612,34690,432000,0.00188093,0.00223373,0.01763669
4,25569,52080,432000,0.00190397,0.00259805,0.01763669
8,29414,77450,432000,0.00204005,0.00294149,0.01763669
16,37035,110170,432000,0.00231221,0.00344405,0.01763669
32,52188,139633,432000,0.00282654,0.00390821,0.01763669
64,82494,198560,432000,0.00385517,0.00483653,0.01763669
128,143005,254770,432000,0.00657245,0.00563645,0.01763669
256,264005,317970,432000,0.01227701,0.00659549,0.01763669
512,509188,389270,432000,0.02350613,0.00771365,0.01763669
1024,1000253,463540,432000,0.04596437,0.00881093,0.01763669
2048,2198847,552080,432000,0.09084837,0.01100511,0.01763669
4096,4596035,729160,432000,0.18061637,0.01539347,0.01763669
